Area,Production,Rainfall,Season,Temperature,Crop,pH,Nitrogen(kg/ha),ElectricalConductivity(ds/m)
7800.0,3200.0,30.40033333333334,Kharif,28.007,Moong(Green Gram),6.5,497.0,4.1
39922.0,75572.0,111.901,Kharif,27.23233333333333,Maize,5.6,473.0,3.9
44656.0,49099.0,3.3965,Rabi,20.277,Wheat,7.3,366.0,4.9
6540.0,3945.0,30.9325,Rabi,24.2415,Wheat,5.3,417.0,3.8
2911.0,2062.0,189.2083333333333,Kharif,27.45633333333333,Maize,6.3,267.0,3.5
7.0,2.0,21.60975,Rabi,23.57,Moong(Green Gram),6.3,435.0,3.4
18.0,21.0,206.31975,Summer,28.76025,Groundnut,5.8,370.0,2.0
39157.0,1878596.0,186.93833333333333,Kharif,27.94066666666667,Sugarcane,5.1,312.0,5.3
10562.0,16812.0,81.59333333333333,Kharif,26.181,Jowar,7.1,334.0,3.8
179.0,2174.0,68.50175,Rabi,24.13975,Potato,6.8,365.0,2.9
3.0,2.0,20.18025,Rabi,22.78525,Rapeseed &Mustard,5.9,203.0,3.5
11.0,203.0,7.63025,Rabi,21.71425,Onion,5.2,201.0,4.9
137885.0,238000.0,8.36925,Rabi,19.24075,Rapeseed &Mustard,7.2,459.0,1.2
600.0,2900.0,295.23875,Summer,27.728,Rice,5.3,224.0,2.4
7059.0,18614.0,161.602,Kharif,24.80566666666667,Maize,7.2,204.0,3.6
144.0,155.1,249.116,Summer,29.5795,Wheat,6.8,486.0,2.6
24951.0,21935.0,177.34799999999996,Kharif,20.155666666666672,Rice,5.2,226.0,2.9
4.0,7.5,251.54975,Summer,29.01,Maize,5.6,309.0,3.6
3.0,5.6,248.81725,Summer,28.37825,Maize,6.6,237.0,3.5
19200.0,24700.0,7.76125,Rabi,23.81475,Wheat,7.2,411.0,1.8
655.0,307.0,92.46464670458613,Whole Year,28.0818132927639,Dry chillies,5.1,226.0,2.2
1.0,59.0,76.47460519510399,Whole Year,28.72210928636347,Sugarcane,5.2,471.0,4.1
2200.0,2800.0,166.215,Summer,26.39474999999999,Groundnut,6.6,292.0,3.3
46676.0,102177.0,25.18025,Rabi,20.34825,Wheat,5.2,361.0,4.7
